"","PrimKey","MoV","Home","teamDayOff_x","teamMin_T6_x","teamPF_T6_x","team3P._T6_x","teamFT._T6_x","teamTREB._T6_x","teamBLKR_T6_x","teamPPS_T6_x","teamEDiff_T6_x","teamAST.TO_T6_x","teamSTL.TO_T6_x","poss_T6_x","teamMin_T6_y","teamPF_T6_y","team3P._T6_y","teamFT._T6_y","teamTREB._T6_y","teamBLKR_T6_y","teamPPS_T6_y","teamEDiff_T6_y","teamAST.TO_T6_y","teamSTL.TO_T6_y","poss_T6_y","teamDayOff_y"
"163","43061TOR",-8,0,3,240.166666666667,22,0.3896,0.820733333333333,49.63485,13.7081666666667,1.39461666666667,10.4671333333333,1.91853333333333,60.6209,96.1622166666667,239.666666666667,20.1666666666667,0.397233333333333,0.837383333333333,53.9594666666667,7.01348333333333,1.20816666666667,2.4441,1.55195,52.9690833333333,94.38305,2
"164","43061HOU",30,1,4,240.666666666667,22.8333333333333,0.378116666666667,0.828866666666667,54.4269166666666,15.9813833333333,1.42038333333333,12.5532833333333,1.37868333333333,58.2935666666667,99.1034833333333,240.666666666667,15,0.40515,0.769133333333333,54.2474166666667,8.5879,1.32008333333333,6.77236666666667,1.47338333333333,43.9194,97.2277166666667,1
"165","43061DAL",1,0,1,244.333333333333,22.8333333333333,0.30135,0.824583333333333,48.5098666666667,6.26215,1.14516666666667,-4.37698333333334,1.46365,47.51685,97.7380833333333,239.833333333333,21.5,0.31125,0.7945,47.57225,12.5745666666667,1.21031666666667,-9.54945,1.65715,47.6922833333333,94.6589,2
"166","43061MIN",6,1,2,239.833333333333,18.1666666666667,0.347133333333333,0.788683333333333,50.2285833333333,6.25515,1.25095,4.23245,1.93045,80.9519666666667,95.4052,239.5,18.8333333333333,0.354816666666667,0.754033333333333,47.0730666666667,9.3963,1.22023333333333,-11.2953333333333,1.51656666666667,53.9099166666667,99.5041333333333,2
"167","43061SA",-17,0,1,240.166666666667,16.6666666666667,0.37035,0.858633333333333,54.13,11.31285,1.23298333333333,6.73541666666667,1.62753333333333,44.2002333333333,92.5529,240,19,0.36705,0.750016666666667,48.7645333333334,6.02331666666667,1.36536666666667,-4.93673333333333,1.83675,48.11275,100.258733333333,2
"168","43061OKC",17,1,2,240.333333333333,23.5,0.371816666666667,0.7139,48.7298,8.02321666666666,1.29221666666667,3.01323333333333,1.5584,72.7668833333334,95.6163,240.833333333333,22.6666666666667,0.386083333333333,0.7986,52.8747666666667,15.9945666666667,1.34983333333333,10.3346833333333,1.80096666666667,50.1489666666667,104.185416666667,3
"169","43061MIL",6,0,2,240,20.3333333333333,0.3116,0.683566666666667,47.00085,12.59965,1.16465,-3.123,1.62656666666667,74.0415333333333,93.3346333333333,240.833333333333,21.8333333333333,0.310166666666667,0.668266666666667,49.0467666666667,8.32633333333333,1.18728333333333,-3.68576666666666,1.59305,47.1618,106.076116666667,3
"170","43061UTA",30,1,2,239.166666666667,22,0.401616666666667,0.87295,47.4584833333333,10.2939333333333,1.23801666666667,-0.068966666666667,1.58238333333333,68.8320666666667,95.9884666666667,238.333333333333,19.6666666666667,0.339733333333333,0.7226,45.7025166666667,4.82346666666667,1.07883333333333,-14.4901166666667,1.6845,57.0986166666667,98.0955833333334,0
"171","43061LAL",-11,0,1,240.333333333333,21.3333333333333,0.298,0.662333333333333,51.0702,11.6177833333333,1.1599,1.90263333333333,1.56446666666667,50.9813333333333,104.318783333333,240.833333333333,19.5,0.368416666666667,0.73335,43.8375833333333,6.13945,1.05071666666667,-20.3370666666667,1.49306666666667,80.1931333333333,93.2549666666667,2
"172","43063ATL",12,1,2,239.5,19.6666666666667,0.39715,0.71025,49.4957666666667,5.83495,1.24075,-1.54676666666667,1.53363333333333,56.94445,94.9496,239.666666666667,19.8333333333333,0.383333333333333,0.846433333333333,52.9018166666667,8.2141,1.19546666666667,6.12843333333333,1.76633333333333,59.0077333333333,94.5006166666667,2
"173","43063ORL",-15,0,1,239.5,20.6666666666667,0.331483333333333,0.7477,46.8700333333333,9.08765,1.17618333333333,-14.73825,1.55916666666667,50.9469666666667,98.9794333333333,243.833333333333,18.6666666666667,0.352433333333333,0.79735,52.2403666666667,7.7886,1.22361666666667,4.192,1.35383333333333,62.2975,97.6866333333333,2
"174","43063CLE",1,1,2,243.833333333333,19.3333333333333,0.385783333333333,0.8308,51.2481833333333,7.4022,1.3221,10.6807333333333,1.68166666666667,53.5069,99.7438333333334,243.666666666667,18.1666666666667,0.363833333333333,0.738383333333334,51.9797333333333,10.2706666666667,1.29856666666667,3.69818333333333,1.70271666666667,45.20265,100.767733333333,2
"175","43063TOR",-5,0,2,240.5,21.8333333333333,0.3875,0.8159,48.1976833333333,15.91905,1.3787,8.43035,1.77686666666667,53.9542333333333,94.6980333333333,240,16.8333333333333,0.448566666666667,0.739516666666667,50.6993666666666,8.67501666666667,1.25885,6.65606666666667,1.96358333333333,61.3268,97.4212833333333,4
"176","43063MIN",-12,1,2,239.833333333333,17.5,0.371766666666667,0.788683333333333,49.9451833333333,6.1592,1.29753333333333,6.48601666666667,2.14636666666667,81.52015,95.60485,239.833333333333,19,0.36315,0.804033333333333,50.4478,8.95013333333334,1.15876666666667,-4.42705,1.33695,43.51405,94.3675166666666,2
"177","43063DET",1,0,4,240.333333333333,18.8333333333333,0.413816666666667,0.730983333333334,50.3567833333333,7.37268333333333,1.1792,-3.96665,1.5423,39.0742,94.1159333333333,240.5,23.1666666666667,0.364033333333333,0.74595,49.8534,7.36081666666666,1.31815,7.22083333333333,1.56711666666667,73.5838833333333,96.9468333333333,2
"178","43063DEN",12,1,2,240.5,14.8333333333333,0.4001,0.74905,53.8728833333333,8.0099,1.29476666666667,0.396016666666667,1.39918333333333,46.8162333333333,98.42535,239.833333333333,22.1666666666667,0.290083333333333,0.809266666666667,49.5364,11.4112333333333,1.17998333333333,-9.89796666666667,1.70225,45.66615,95.7138833333333,2
"179","43063NO",24,0,2,240.333333333333,18.6666666666667,0.345766666666667,0.789466666666667,50.3287666666667,5.30093333333333,1.3457,-1.44175,1.70728333333333,47.0710833333333,99.4271666666667,244.666666666667,21.3333333333333,0.328483333333333,0.672916666666667,50.9141833333333,9.24853333333333,1.18045,-2.11656666666666,1.5348,42.2959,106.409266666667,2
"180","43063BKN",-2,1,2,240.166666666667,20.3333333333333,0.365216666666667,0.67955,49.2801333333333,5.99646666666667,1.2616,-2.70483333333333,1.71491666666667,46.5906166666667,99.8772833333333,240.166666666667,18.3333333333333,0.379533333333333,0.789816666666667,53.1667333333333,8.97,1.17973333333333,3.46531666666667,0.968033333333333,40.4853,94.8554666666666,2
"181","43063CHI",-49,0,2,238.333333333333,21,0.3362,0.75315,46.2223333333333,4.35828333333333,1.09385,-16.8528666666667,1.50741666666667,46.3347333333333,97.14405,240.333333333333,22.1666666666667,0.3704,0.80785,51.4572,15.6544333333333,1.29431666666667,3.81823333333333,1.64306666666667,49.7103666666667,103.272316666667,2
"182","43064CHA",-20,1,0,244,17.5,0.3816,0.741183333333333,52.9866833333333,9.0284,1.29285,4.03811666666667,1.92758333333333,46.6576666666667,100.711566666667,240.166666666667,18,0.3603,0.862666666666667,53.9051333333333,10.65415,1.22218333333333,5.11726666666666,1.64373333333333,47.2095,93.3742833333333,2
"183","43064ORL",-19,0,0,239.833333333333,20.1666666666667,0.33485,0.7363,48.6561666666667,8.53851666666667,1.1519,-14.2739666666667,1.5175,49.5580833333333,98.6793666666667,239.666666666667,20.8333333333333,0.305633333333333,0.7301,52.9097833333333,11.0664166666667,1.25915,3.80476666666667,1.52476666666667,54.5139,103.20985,3
"184","43064WAS",-3,1,3,244.333333333333,19.3333333333333,0.395016666666667,0.7962,51.3293833333333,4.90725,1.2272,4.1385,1.56325,41.1731666666667,93.7345,240,18,0.39065,0.760716666666667,52.1308666666667,10.0423333333333,1.17418333333333,0.771433333333335,1.3728,43.29915,96.3636333333333,0
"185","43064TOR",34,0,0,239.833333333333,21.8333333333333,0.36805,0.795966666666667,49.31435,14.2632666666667,1.36153333333333,7.78245,1.74206666666667,57.7777666666667,96.38025,239.5,18.5,0.39635,0.7176,50.8355833333333,5.99181666666667,1.24728333333333,3.65321666666667,1.90168333333333,60.9722333333333,94.59795,1
"186","43064HOU",15,1,3,240.666666666667,22,0.393316666666667,0.817783333333333,52.4777666666667,14.9192333333333,1.4212,16.82375,1.49738333333333,61.9972666666667,99.6697333333333,239.833333333333,19.3333333333333,0.375933333333333,0.85595,52.8913833333333,9.68801666666666,1.19636666666667,-0.675766666666666,1.57693333333333,50.75015,95.1069333333333,1
"187","43064BOS",10,0,1,244,19,0.3558,0.7791,50.79455,10.6435166666667,1.25773333333333,6.61711666666666,1.58716666666667,63.4086166666667,98.6619,239.833333333333,17,0.450116666666667,0.76575,49.88975,8.64313333333333,1.26538333333333,4.42091666666667,1.9115,64.3360666666667,97.7945166666667,1
"188","43064DAL",16,1,3,244.333333333333,20.8333333333333,0.3059,0.780933333333333,48.3878333333333,5.92918333333333,1.13076666666667,-3.05413333333334,1.62463333333333,55.6607833333333,97.3785833333333,240.333333333333,20.3333333333333,0.335183333333333,0.750116666666667,50.6242,6.63238333333333,1.2284,5.49863333333333,1.49211666666667,76.9172166666667,97.4447333333333,1
"189","43064NO",-15,0,0,240.333333333333,18.5,0.338816666666667,0.778733333333333,49.0889333333333,5.30093333333333,1.32506666666667,1.21025,1.82096666666667,52.4152833333333,99.25005,240.166666666667,20.8333333333333,0.35805,0.814266666666667,52.1916666666667,15.6544333333333,1.28183333333333,8.49183333333333,1.96388333333333,55.5074666666667,102.37385,0
"190","43064UTA",13,1,3,239.5,19.6666666666667,0.405066666666667,0.8733,47.3537666666667,11.0350666666667,1.22766666666667,4.00173333333333,1.93208333333333,79.0999166666667,94.9975,243.833333333333,23.1666666666667,0.311283333333333,0.713133333333333,45.1599,12.4270333333333,1.18276666666667,-3.44588333333333,1.51625,79.91455,95.8468,3
"191","43064LAC",2,0,3,243.666666666667,22.6666666666667,0.355616666666667,0.729433333333334,45.0749166666667,8.4049,1.20205,-6.76946666666667,1.38213333333333,56.3505,99.7584,240.5,19.8333333333333,0.39475,0.707166666666666,44.9501166666667,6.03168333333333,1.0827,-13.6772166666667,1.50438333333333,81.3243666666666,93.6404833333333,2
"192","43065CHI",-7,1,1,238.166666666667,21.3333333333333,0.3529,0.7728,47.2314833333333,3.82918333333333,1.06993333333333,-18.0450666666667,1.42536666666667,42.57405,98.21975,239.833333333333,19.6666666666667,0.377683333333333,0.820233333333333,49.4964166666667,8.65306666666667,1.20403333333333,-3.93645,1.60281666666667,41.1331,93.31125,1
"193","43065PHO",-11,0,1,244.333333333333,20.1666666666667,0.28105,0.700683333333334,50.9178666666667,7.8221,1.11311666666667,-7.3681,1.458,47.4157333333333,106.083733333333,240,18,0.357066666666667,0.747566666666667,49.08265,5.27148333333334,1.23413333333333,2.31043333333333,2.28068333333333,87.6966166666667,95.04885,1
"194","43065MEM",-10,1,1,240,22.3333333333333,0.302583333333333,0.794216666666667,46.9331333333333,11.0192,1.1875,-9.53185,1.76985,47.4254166666667,94.6632166666667,240.333333333333,21.8333333333333,0.37925,0.702116666666667,49.6279666666667,6.07193333333333,1.28495,-3.72078333333333,1.76121666666667,42.33135,100.9811,1
"195","43066ORL",-12,0,2,240,20,0.347283333333333,0.70105,49.0629166666667,9.16081666666667,1.17761666666667,-15.7137833333333,1.49023333333333,47.7399,99.0675,239.5,16.8333333333333,0.440233333333333,0.82925,51.2155166666667,7.33663333333333,1.28401666666667,6.5509,1.8474,65.4258166666667,96.9928333333334,1
